행정동_코드,지역명,2023,2024,2025,3년_증감,총_상주인구_수,총_직장_인구_수,총_유동인구_수,10인_이상_가구_수,1인_가구_수,2인_가구_수,3인_가구_수,4인_가구_수,5인_가구_수,6인_가구_수,7인_가구_수,8인_가구_수,9인_가구_수,총_가구_수,1인_가구_비중,직장인구_상주인구_비,유동인구_상주인구_비,학원_매출,학원_매출_비중,상권특성,경쟁수준,활동인구,활동인구_대비_편의점
11140650,중구 신당5동,1,1,1,0,10151,622.0,3133863,0.0,2868.0,1258.0,729.0,438.0,95.0,15.0,6.0,0.0,1.0,5410.0,0.5301293900184842,0.06127475125603389,308.72455915673333,0.0,0.0,주거형,중간,10773.0,0.092824654228163
11140665,중구 동화동,3,3,3,0,9941,1303.0,3558358,0.0,1120.0,1099.0,877.0,614.0,174.0,48.0,11.0,9.0,1.0,3953.0,0.28332911712623327,0.13107333266270998,357.9476913791369,132665468.0,0.003968754208766312,유동 중심형,중간,11244.0,0.2668089647812167
11140670,중구 황학동,3,1,1,-2,12685,796.0,5321500,1.0,4733.0,1744.0,811.0,442.0,106.0,21.0,4.0,0.0,0.0,7862.0,0.6020096667514627,0.06275128104059913,419.51123374063854,88062787.0,0.0015524210896205293,1인가구형,저밀·상대적 여유,13481.0,0.07417847340701729
11140680,중구 중림동,1,1,1,0,12142,3863.0,1945691,1.0,2675.0,1348.0,1054.0,586.0,142.0,32.0,5.0,3.0,0.0,5846.0,0.4575778309955525,0.3181518695437325,160.24468786031954,0.0,0.0,오피스형,중간,16005.0,0.062480474851608875
11170510,용산구 후암동,6,5,3,-3,16020,1885.0,3909430,3.0,4348.0,1832.0,1145.0,707.0,179.0,37.0,17.0,2.0,2.0,8272.0,0.5256286266924565,0.11766541822721598,244.0343320848939,237241113.0,0.010450118011044623,주거형,중간,17905.0,0.16755096341803966
11170520,용산구 용산2가동,4,4,4,0,8866,479.0,4761506,0.0,2902.0,1161.0,530.0,304.0,64.0,20.0,4.0,0.0,0.0,4985.0,0.5821464393179538,0.054026618542747575,537.0523347620122,40072727.0,0.0026624497592131684,1인가구형,중간,9345.0,0.42803638309256287
11170530,용산구 남영동,9,11,12,3,6819,18490.0,1871643,1.0,3802.0,688.0,300.0,152.0,49.0,8.0,1.0,0.0,0.0,5001.0,0.760247950409918,2.711541281712861,274.47470303563574,445244392.0,0.006780602764433292,1인가구형,고밀·경쟁 지속,25309.0,0.474139634122249
11170555,용산구 청파동,4,4,3,-1,18842,3226.0,7206085,3.0,7412.0,2055.0,1021.0,623.0,175.0,44.0,13.0,2.0,0.0,11348.0,0.6531547409235108,0.1712132470013799,382.44798853624883,87599264.0,0.002102712385339411,1인가구형,중간,22068.0,0.13594344752582924
11170560,용산구 원효로1동,9,9,8,-1,16956,2961.0,4702896,2.0,5252.0,1873.0,1225.0,809.0,161.0,32.0,6.0,6.0,1.0,9367.0,0.5606917903277463,0.1746284501061571,277.35881104033973,179287610.0,0.0017531508499144923,1인가구형,고밀·경쟁 완화,19917.0,0.4016669177084902
11170570,용산구 원효로2동,3,3,4,1,13626,3004.0,3522802,2.0,2652.0,1482.0,1159.0,755.0,167.0,42.0,11.0,7.0,3.0,6280.0,0.42229299363057327,0.22046088360487304,258.53530016145606,1607930017.0,0.03376932310328771,주거형,중간,16630.0,0.24052916416115455
