행정동_코드,지역명,2023,2024,2025,3년_증감
11500520,강서구 등촌1동,4,4,3,-1
11500530,강서구 등촌2동,3,4,4,1
11500535,강서구 등촌3동,9,9,10,1
11500540,강서구 화곡1동,13,13,9,-4
11500550,강서구 화곡2동,2,1,2,0
11500560,강서구 화곡3동,6,3,2,-4
11500570,강서구 화곡4동,2,3,3,1
11500590,강서구 화곡본동,8,10,10,2
11500591,강서구 화곡6동,10,10,7,-3
11500593,강서구 화곡8동,4,5,6,2
11500603,강서구 가양1동,18,20,18,0
11500604,강서구 가양2동,3,2,2,-1
11500605,강서구 가양3동,4,4,4,0
11500611,강서구 발산1동,6,6,6,0
11500615,강서구 우장산동,15,12,10,-5
11500620,강서구 공항동,13,13,13,0
11500630,강서구 방화1동,10,11,12,2
11500640,강서구 방화2동,8,10,8,0
11500641,강서구 방화3동,6,5,5,-1
11530510,구로구 신도림동,12,14,13,1
11530520,구로구 구로1동,2,4,4,2
11530530,구로구 구로2동,9,10,10,1
11530540,구로구 구로3동,14,13,13,-1
11530550,구로구 구로4동,9,9,9,0
11530560,구로구 구로5동,8,9,9,1
11530595,구로구 가리봉동,5,5,5,0
11530720,구로구 고척1동,5,5,4,-1
11530730,구로구 고척2동,3,4,4,1
11530740,구로구 개봉1동,6,7,7,1
11530750,구로구 개봉2동,4,4,4,0
11530760,구로구 개봉3동,0,0,0,0
11530770,구로구 오류1동,7,10,8,1
11530780,구로구 오류2동,5,9,8,3
11530790,구로구 수궁동,7,7,8,1
11530800,구로구 항동,2,2,2,0
11545510,금천구 가산동,26,25,26,0
11545610,금천구 독산1동,9,9,9,0
11545620,금천구 독산2동,4,4,4,0
11545630,금천구 독산3동,4,3,2,-2
11545640,금천구 독산4동,2,2,2,0
11545670,금천구 시흥1동,5,6,3,-2
11545680,금천구 시흥2동,0,3,3,3
11545690,금천구 시흥3동,2,1,0,-2
11545700,금천구 시흥4동,1,1,1,0
11545710,금천구 시흥5동,3,2,2,-1
11560515,영등포구 영등포본동,10,11,11,1
11560535,영등포구 영등포동,16,13,12,-4
11560540,영등포구 여의동,38,40,39,1
11560550,영등포구 당산1동,11,14,13,2
11560560,영등포구 당산2동,11,9,10,-1
11560585,영등포구 도림동,5,3,4,-1
11560605,영등포구 문래동,7,13,11,4
11560610,영등포구 양평1동,9,8,9,0
11560620,영등포구 양평2동,10,9,11,1
11560630,영등포구 신길1동,7,10,8,1
11560650,영등포구 신길3동,4,4,4,0
11560660,영등포구 신길4동,2,4,3,1
11560670,영등포구 신길5동,0,2,2,2
11560680,영등포구 신길6동,7,7,4,-3
11560690,영등포구 신길7동,5,4,4,-1
11560700,영등포구 대림1동,2,2,2,0
11560710,영등포구 대림2동,9,6,5,-4
11560720,영등포구 대림3동,8,12,11,3
11590510,동작구 노량진1동,6,5,5,-1
11590520,동작구 노량진2동,1,1,1,0
11590530,동작구 상도1동,11,10,10,-1
11590540,동작구 상도2동,6,5,4,-2
11590550,동작구 상도3동,3,3,3,0
11590560,동작구 상도4동,0,0,1,1
11590605,동작구 흑석동,9,8,7,-2
11590620,동작구 사당1동,4,4,3,-1
11590630,동작구 사당2동,6,5,5,-1
11590640,동작구 사당3동,1,1,1,0
11590650,동작구 사당4동,0,0,0,0
11590651,동작구 사당5동,2,2,2,0
11590660,동작구 대방동,8,6,6,-2
11590670,동작구 신대방1동,2,2,1,-1
11590680,동작구 신대방2동,5,5,4,-1
11620525,관악구 보라매동,4,5,5,1
11620545,관악구 청림동,1,0,0,-1
11620565,관악구 성현동,3,3,3,0
11620575,관악구 행운동,4,4,5,1
11620585,관악구 낙성대동,6,3,2,-4
